XSect,xminus,xplus
0.028605837783980303,0.0,1.0
0.1107414871418935,1.0,2.0
0.1773370136685601,2.0,3.0
0.26191531767909854,3.0,4.0
0.34119315873982065,4.0,5.0
0.3844970762418364,5.0,6.0
0.5275149896939434,6.0,7.0
0.5724890329439952,7.0,8.0
0.6729895256215367,8.0,9.0
0.7542944121700096,9.0,10.0
0.8233644192412709,10.0,11.0
0.968009145398368,11.0,12.0
1.0652577516501356,12.0,13.0
1.2307756621341543,13.0,14.0
1.3799045021052299,14.0,15.0
1.5789440922275089,15.0,16.0
1.6581878851770182,16.0,17.0
1.7374622603502752,17.0,18.0
1.8089900287873912,18.0,19.0
1.9241902305724303,19.0,20.0
1.9458491530363768,20.0,21.0
2.035349918051374,21.0,22.0
2.2237277762937517,22.0,23.0
2.2073899964159813,23.0,24.0
2.3311948396651863,24.0,25.0
2.3459078590191313,25.0,26.0
2.526495034147581,26.0,27.0
2.5547203514512122,27.0,28.0
2.7055237747807124,28.0,29.0
2.808874452653985,29.0,30.0
2.8665111953908515,30.0,31.0
2.927802944203504,31.0,32.0
3.0548753243979876,32.0,33.0
3.143929943240183,33.0,34.0
3.2886148425880184,34.0,35.0
3.40832510616303,35.0,36.0
3.4921346340171397,36.0,37.0
3.571759245133025,37.0,38.0
3.7025179364304024,38.0,39.0
3.8659795672358266,39.0,40.0
3.8982935479812095,40.0,41.0
4.01753100716661,41.0,42.0
4.293022302064426,42.0,43.0
4.363284031260292,43.0,44.0
4.621102557255508,44.0,45.0
4.733134828403499,45.0,46.0
4.882232976907155,46.0,47.0
5.048152485048868,47.0,48.0
5.289699749317424,48.0,49.0
5.413864275759215,49.0,50.0
5.713392903824925,50.0,51.0
5.967135207955543,51.0,52.0
6.177631923445257,52.0,53.0
6.539215005640292,53.0,54.0
6.8056737838762595,54.0,55.0
7.001755882054121,55.0,56.0
7.435379971028555,56.0,57.0
7.71032618122266,57.0,58.0
8.213457211084,58.0,59.0
8.649761226381994,59.0,60.0
9.1009006552974,60.0,61.0
9.592928389892256,61.0,62.0
10.06162400088866,62.0,63.0
10.855624486938044,63.0,64.0
11.68014247640239,64.0,65.0
12.585139844852462,65.0,66.0
13.52571211308088,66.0,67.0
14.65822320239978,67.0,68.0
16.0021816749205,68.0,69.0
17.47621270529215,69.0,70.0
19.563800700875262,70.0,71.0
21.936438977187034,71.0,72.0
24.844179715043524,72.0,73.0
28.670925690405085,73.0,74.0
33.72305305307966,74.0,75.0
40.622123554462654,75.0,76.0
51.75692584193298,76.0,77.0
69.34885047238338,77.0,78.0
102.11700353165247,78.0,79.0
174.69839849010785,79.0,80.0
297.09246083073737,80.0,81.0
351.6087072569878,81.0,82.0
344.8554351682908,82.0,83.0
328.62096959380114,83.0,84.0
314.41159605544414,84.0,85.0
302.31823064594505,85.0,86.0
293.1308648147535,86.0,87.0
284.6350087985494,87.0,88.0
278.1500826389994,88.0,89.0
271.878660693861,89.0,90.0
266.69672959334025,90.0,91.0
262.6214032565078,91.0,92.0
257.5559133158305,92.0,93.0
255.0286922984357,93.0,94.0
250.91469751587667,94.0,95.0
247.7023409457511,95.0,96.0
244.5070164246188,96.0,97.0
242.130116929718,97.0,98.0
239.04956949484244,98.0,99.0
236.6088161336501,99.0,100.0
233.42596162187616,100.0,101.0
231.39569442203629,101.0,102.0
228.28769255892593,102.0,103.0
226.20245901669816,103.0,104.0
223.4028986682594,104.0,105.0
220.47391954451294,105.0,106.0
218.1091518803789,106.0,107.0
216.11909758599984,107.0,108.0
212.9394248269366,108.0,109.0
210.05300469434297,109.0,110.0
207.9700041171,110.0,111.0
205.18017871237615,111.0,112.0
202.03651289656352,112.0,113.0
199.49354649883136,113.0,114.0
197.00331710806518,114.0,115.0
193.76019414022412,115.0,116.0
190.56513103342448,116.0,117.0
187.97976079995016,117.0,118.0
183.70402836244799,118.0,119.0
178.81561673111491,119.0,120.0
